,track_uri,track_name,artist_name,artist_pop,artist_genres,album,track_pop,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,spotify:track:4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,94,['pop'],Harry's House,90,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,4
1,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,96,0.0901,0.911,0.712,2.68e-05,0.0933,-5.105,0.0817,92.005,4
2,spotify:track:3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,96,0.08,0.647,0.686,1.34e-06,0.528,-5.745,0.0413,79.928,4
3,spotify:track:75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),Kate Bush,71,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",Hounds Of Love,82,0.72,0.629,0.547,0.00314,0.0604,-13.123,0.055,108.375,4
4,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,94,0.0993,0.65,0.715,0.000291,0.126,-5.198,0.253,106.672,4
5,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,Harry Styles,94,['pop'],Harry's House,93,0.298,0.714,0.728,0.0,0.106,-4.595,0.0468,114.996,4
6,spotify:track:6Xom58OOXk2SoU711L2IXO,Moscow Mule,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,95,0.294,0.804,0.674,1.18e-06,0.115,-5.453,0.0333,99.968,4
7,spotify:track:4tYFy8ALRjIZvnvSLw5lxN,Party,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,93,0.0151,0.829,0.799,0.000543,0.242,-5.389,0.0897,97.013,4
8,spotify:track:1PckUlxKqWQs3RlWXVBLw3,About Damn Time,Lizzo,80,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",About Damn Time,93,0.0995,0.836,0.743,0.0,0.335,-6.305,0.0656,108.966,4
9,spotify:track:7dSZ6zGTQx66c2GF91xCrb,PROVENZA,KAROL G,87,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",PROVENZA,93,0.656,0.87,0.516,0.00823,0.11,-8.006,0.0541,111.005,4
10,spotify:track:02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,81,"['gauze pop', 'indietronica', 'shiver pop']",Dreamland (+ Bonus Levels),89,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4
11,spotify:track:0wHFktze2PHC5jDt3B17DC,First Class,Jack Harlow,87,"['deep underground hip hop', 'kentucky hip hop', 'rap']",Come Home The Kids Miss You,84,0.111,0.902,0.582,3.18e-06,0.111,-5.902,0.109,107.005,4
12,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Efecto,Bad Bunny,100,"['latin', 'reggaeton', 'trap latino']",Un Verano Sin Ti,91,0.141,0.801,0.475,1.73e-05,0.0639,-8.797,0.0516,98.047,4
13,spotify:track:6uvh0In7u1Xn4HgxOfAn8O,Matilda,Harry Styles,94,['pop'],Harry's House,90,0.896,0.507,0.294,1.97e-05,0.0966,-10.0,0.04,114.199,4
14,spotify:track:5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),The Kid LAROI,83,['australian hip hop'],F*CK LOVE 3: OVER YOU,87,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,4
15,spotify:track:2DB4DdfCFMw1iaR6JaR03a,Bam Bam (feat. Ed Sheeran),Camila Cabello,83,"['dance pop', 'pop', 'post-teen pop']",Familia,83,0.182,0.756,0.697,0.0,0.333,-6.377,0.0401,94.996,4
16,spotify:track:5LYMamLv12UPbemOaTPyeV,Music For a Sushi Restaurant,Harry Styles,94,['pop'],Harry's House,90,0.258,0.72,0.715,0.0568,0.107,-4.652,0.04,107.041,4
