,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,...Ready For It?,...Ready For It?,Taylor Swift,9/3/17,208198,0,0.615,0.0665,0.615,0.779,0,0.155,-6.454,0.135,160,4
1,Life Changes,Life Changes,Thomas Rhett,9/8/17,190226,63,0.687,0.1,0.687,0.845,0,0.0452,-4.37,0.0576,87.972,4
2,24K Magic,24K Magic,Bruno Mars,11/17/16,225983,78,0.818,0.034,0.818,0.803,0,0.153,-4.282,0.0797,106.97,4
3,Galway Girl,÷ (Deluxe),Ed Sheeran,3/3/17,170826,77,0.624,0.0735,0.624,0.876,0,0.327,-3.374,0.1,99.943,4
4,Photograph,x (Deluxe Edition),Ed Sheeran,6/21/14,258986,83,0.614,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,4
5,Havana (feat. Young Thug),Havana (feat. Young Thug),Camila Cabello,8/3/17,216896,1,0.768,0.186,0.768,0.517,3.80E-05,0.104,-4.323,0.0312,104.992,4
6,When I Was Your Man,Unorthodox Jukebox,Bruno Mars,12/7/12,213826,83,0.612,0.932,0.612,0.28,0,0.088,-8.648,0.0434,72.795,4
7,Gonna Fly Now,Rocky III: Music From The Motion Picture,Various Artists,1/1/82,170240,54,0.415,0.4,0.415,0.538,0.767,0.0674,-12.71,0.0368,95.121,4
8,Don't Wanna Know (feat. Kendrick Lamar),Red Pill Blues (Deluxe),Maroon 5,11/3/17,214265,0,0.776,0.341,0.776,0.62,0,0.0978,-6.198,0.067,100.025,4
9,Thinking out Loud,x (Deluxe Edition),Ed Sheeran,6/21/14,281560,81,0.781,0.474,0.781,0.445,0,0.184,-6.061,0.0295,78.998,4
10,Everybody Talks,Picture Show (Deluxe Edition),Neon Trees,1/1/12,177280,51,0.471,0.00301,0.471,0.924,0,0.313,-3.906,0.0586,154.961,4
11,We Are Never Ever Getting Back Together,Red,Taylor Swift,10/22/12,191880,59,0.628,0.00957,0.628,0.676,2.65E-05,0.102,-5.911,0.0916,85.984,4
12,Bad Blood,1989,Taylor Swift,10/27/14,211933,65,0.65,0.0871,0.65,0.802,6.54E-06,0.148,-6.114,0.181,170.146,4
13,Hall of Fame (feat. will.i.am),#3,The Script,9/10/12,202533,68,0.421,0.0654,0.421,0.873,0,0.123,-4.343,0.0564,84.786,4
