,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,As It Was,Harry's House,Harry Styles,2022-05-20,167303,90,0.52,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,4
1,Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,178567,96,0.911,0.0901,0.911,0.712,2.68e-05,0.0933,-5.105,0.0817,92.005,4
2,Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,2022-05-06,258298,96,0.647,0.08,0.647,0.686,1.34e-06,0.528,-5.745,0.0413,79.928,4
3,Running Up That Hill (A Deal With God),Hounds Of Love,Kate Bush,1985,298933,82,0.629,0.72,0.629,0.547,0.00314,0.0604,-13.123,0.055,108.375,4
4,Tití Me Preguntó,Un Verano Sin Ti,Bad Bunny,2022-05-06,243716,94,0.65,0.0993,0.65,0.715,0.000291,0.126,-5.198,0.253,106.672,4
5,Late Night Talking,Harry's House,Harry Styles,2022-05-20,177954,93,0.714,0.298,0.714,0.728,0.0,0.106,-4.595,0.0468,114.996,4
6,Moscow Mule,Un Verano Sin Ti,Bad Bunny,2022-05-06,245939,95,0.804,0.294,0.804,0.674,1.18e-06,0.115,-5.453,0.0333,99.968,4
7,Party,Un Verano Sin Ti,Bad Bunny,2022-05-06,227628,93,0.829,0.0151,0.829,0.799,0.000543,0.242,-5.389,0.0897,97.013,4
8,About Damn Time,About Damn Time,Lizzo,2022-04-14,191822,93,0.836,0.0995,0.836,0.743,0.0,0.335,-6.305,0.0656,108.966,4
9,PROVENZA,PROVENZA,KAROL G,2022-04-22,210200,93,0.87,0.656,0.87,0.516,0.00823,0.11,-8.006,0.0541,111.005,4
10,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06,238805,89,0.761,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4
11,First Class,Come Home The Kids Miss You,Jack Harlow,2022-05-06,173947,84,0.902,0.111,0.902,0.582,3.18e-06,0.111,-5.902,0.109,107.005,4
12,Efecto,Un Verano Sin Ti,Bad Bunny,2022-05-06,213061,91,0.801,0.141,0.801,0.475,1.73e-05,0.0639,-8.797,0.0516,98.047,4
13,Matilda,Harry's House,Harry Styles,2022-05-20,245964,90,0.507,0.896,0.507,0.294,1.97e-05,0.0966,-10.0,0.04,114.199,4
14,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,141805,87,0.591,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,4
15,Bam Bam (feat. Ed Sheeran),Familia,Camila Cabello,2022-04-07,206070,83,0.756,0.182,0.756,0.697,0.0,0.333,-6.377,0.0401,94.996,4
