,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,My Heart Goes (La Di Da) (feat. Topic),My Heart Goes (La Di Da) (feat. Topic),Becky Hill,2021-08-24,148960,76,0.695,0.0185,0.695,0.781,3.12e-05,0.295,-5.578,0.0452,124.04,4
1,Potion (with Dua Lipa & Young Thug),Potion (with Dua Lipa & Young Thug),Calvin Harris,2022-05-27,214459,82,0.824,0.158,0.824,0.697,4.11e-05,0.077,-4.869,0.0473,99.988,4
2,The Motto,The Motto,Tiësto,2021-11-04,164818,90,0.754,0.0301,0.754,0.763,2.23e-05,0.0901,-4.627,0.0435,117.953,4
3,Can't Get You out of My Head - Peggy Gou’s Midnight Remix,Can't Get You out of My Head (Peggy Gou’s Midnight Remix),Kylie Minogue,2022-05-19,271240,60,0.687,0.0707,0.687,0.924,0.228,0.046,-7.324,0.0361,126.018,4
4,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),Oliver Heldens,2022-05-06,157205,68,0.686,0.0577,0.686,0.892,7.11e-06,0.0838,-3.186,0.0498,126.03,4
5,Drag Me Out,Drag Me Out,Kah-Lo,2022-03-11,139615,59,0.879,0.0285,0.879,0.769,0.00171,0.116,-3.59,0.0859,120.023,4
6,Move Your Body,Move Your Body,Öwnboss,2021-10-29,157444,83,0.848,0.0169,0.848,0.821,0.000403,0.0962,-5.408,0.0527,125.051,4
7,Ferrari,Ferrari,James Hype,2022-03-15,185661,58,0.844,0.0129,0.844,0.688,5.39e-05,0.0492,-7.879,0.049,124.992,4
8,OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,2021-08-13,162603,82,0.787,0.018,0.787,0.833,0.00747,0.0374,-4.403,0.0478,123.97,4
9,Where Are You Now,Where Are You Now,Lost Frequencies,2021-07-30,148197,90,0.671,0.515,0.671,0.636,0.000411,0.172,-8.117,0.103,120.966,4
10,Love Tonight - David Guetta Remix Edit,Love Tonight (David Guetta Remix),Shouse,2021-06-11,158095,80,0.621,0.015,0.621,0.989,0.357,0.184,-4.225,0.0434,126.002,4
11,When I’m Gone (with Katy Perry),When I’m Gone (with Katy Perry),Alesso,2021-12-29,161266,80,0.685,0.028,0.685,0.886,0.0,0.481,-4.179,0.034,125.034,4
12,Off Of My Mind,Off Of My Mind,Icona Pop,2021-07-09,164739,69,0.798,0.128,0.798,0.752,0.0362,0.0795,-5.947,0.227,125.996,4
13,Bad Habits - MEDUZA Remix,Bad Habits (MEDUZA Remix),Ed Sheeran,2021-07-30,194331,68,0.609,0.0992,0.609,0.8,0.00132,0.0887,-5.102,0.0337,126.031,4
14,You - Topic Remix,You (Topic Remix),Regard,2021-05-28,157160,63,0.733,0.0554,0.733,0.887,0.000131,0.241,-5.601,0.0692,124.025,4
15,Crazy What Love Can Do,Crazy What Love Can Do,David Guetta,2022-04-08,169756,84,0.601,0.0282,0.601,0.713,0.0,0.158,-3.758,0.0449,122.872,4
16,Words (feat. Zara Larsson),Words (feat. Zara Larsson),Alesso,2022-04-22,142677,80,0.739,0.0245,0.739,0.586,0.000252,0.308,-5.079,0.0472,124.026,4
17,Belly Dancer,Belly Dancer,Imanbek,2022-02-18,151475,83,0.845,0.0582,0.845,0.797,5.57e-06,0.167,-4.984,0.139,121.985,4
18,Dancing Feet (feat. DNCE),Dancing Feet (feat. DNCE),Kygo,2022-02-25,215203,81,0.75,0.293,0.75,0.797,0.0,0.392,-4.826,0.118,105.949,4
19,California Dreamin' (feat. High Jinx) (LP Giobbi Remix),California Dreamin',Chris Lorenzo,2022-02-11,144761,55,0.61,0.000645,0.61,0.966,0.247,0.303,-4.116,0.305,126.001,4
20,Real Love (feat. Aleyna Tilki),Happy Machine,Dillon Francis,2021-10-05,135265,37,0.738,0.0496,0.738,0.793,8.48e-05,0.0522,-4.313,0.0685,124.012,4
21,21 Reasons (feat. Ella Henderson),21 Reasons (feat. Ella Henderson),Nathan Dawe,2022-04-29,155253,77,0.621,0.0165,0.621,0.785,5.92e-06,0.0512,-4.499,0.11,123.96,4
22,Where Did You Go?,Where Did You Go?,Jax Jones,2022-01-26,177689,10,0.774,0.194,0.774,0.784,1.07e-05,0.293,-4.549,0.0351,127.042,4
23,Do It To It,Do It To It,ACRAZE,2021-08-20,157890,87,0.854,0.0209,0.854,0.806,0.0542,0.0703,-8.262,0.0886,124.927,4
24,Love Again,Love Again,CHANEY,2022-01-21,190512,57,0.679,0.0874,0.679,0.876,0.0,0.245,-4.86,0.0512,125.985,4
25,Anywhere With You,Anywhere With You,Afrojack,2021-09-30,158807,15,0.596,0.0696,0.596,0.743,2.37e-06,0.202,-4.149,0.0302,125.883,4
26,Can't Get Over You (feat. Aloe Blacc),Can't Get Over You (feat. Aloe Blacc),Gabry Ponte,2021-11-26,159924,63,0.749,0.121,0.749,0.843,4.59e-05,0.0877,-5.544,0.0428,119.981,4
27,Heaven Takes You Home (feat. Connie Constance),Paradise Again,Swedish House Mafia,2022-04-15,214071,80,0.665,0.0124,0.665,0.738,0.00598,0.0923,-5.931,0.0379,125.037,4
28,Your Love (9PM),Your Love (9PM),ATB,2021-01-15,150052,63,0.669,0.194,0.669,0.784,6.28e-06,0.115,-5.603,0.112,125.993,4
29,It Don’t Matter - Spotify Singles,It Don’t Matter - Spotify Singles,Alok,2021-05-07,173742,65,0.732,0.161,0.732,0.864,1.34e-05,0.367,-5.94,0.0378,118.032,4
30,The Business,The Business,Tiësto,2020-09-16,164000,83,0.798,0.414,0.798,0.62,0.0192,0.112,-7.079,0.232,120.031,4
31,Paradise (feat. Dermot Kennedy),Paradise,MEDUZA,2020-10-30,167903,79,0.632,0.0689,0.632,0.595,0.0,0.209,-7.644,0.0401,124.114,4
32,Dancing Alone,Dancing Alone,VIZE,2022-01-14,172390,59,0.632,0.0321,0.632,0.731,5.16e-05,0.317,-5.737,0.0356,127.949,4
33,Why Do I Call,Why Do I Call,Nicky Romero,2021-11-26,158958,57,0.655,0.144,0.655,0.786,0.0,0.282,-6.588,0.0931,122.946,4
34,By Your Side (feat. Tom Grennan) - Oliver Heldens Remix,By Your Side (feat. Tom Grennan) [Oliver Heldens Remix],Calvin Harris,2021-07-09,238064,59,0.682,0.18,0.682,0.861,0.00684,0.0975,-6.047,0.0442,124.045,4
35,Remember,Remember,Becky Hill,2021-06-18,160766,76,0.612,0.041,0.612,0.862,0.0,0.0907,-2.903,0.037,123.849,4
36,Rasputin,Rasputin,Majestic,2021-02-26,186209,80,0.758,0.00364,0.758,0.913,6.92e-05,0.193,-2.926,0.113,128.04,4
37,Follow Me,Follow Me,Sam Feldt,2021-12-10,169672,75,0.673,0.083,0.673,0.729,0.0,0.1,-4.879,0.0496,122.023,4
38,In My Mind - Joel Corry Remix,In My Mind (Joel Corry Remix),Alok,2021-10-15,184000,58,0.653,0.00646,0.653,0.74,0.0,0.136,-6.063,0.0465,122.046,4
39,Savage,Savage,Tiësto,2022-04-29,167500,71,0.694,0.191,0.694,0.7,0.0,0.0719,-5.53,0.0488,127.965,4
40,What Would You Do?,What Would You Do?,Joel Corry,2022-03-18,174215,78,0.687,0.149,0.687,0.895,0.00592,0.121,-2.983,0.0474,124.041,4
41,Lovefool - Nicky Romero Remix,Lovefool (Nicky Romero Remix),twocolors,2020-09-30,209500,59,0.609,0.0142,0.609,0.798,0.000573,0.155,-3.759,0.0342,126.137,4
42,Bulletproof,Bulletproof,La Roux,2021-05-21,162213,69,0.752,0.00341,0.752,0.771,1.73e-05,0.0905,-5.95,0.0311,126.02,4
43,We're Still Young,We're Still Young,Nicky Romero,2021-09-10,195000,64,0.521,0.029,0.521,0.831,0.0,0.349,-3.184,0.0558,127.962,4
44,Love Is Gone (Tiësto Remix),Love Is Gone (Tiësto Remix),SLANDER,2021-12-10,169846,55,0.414,0.00264,0.414,0.765,0.0,0.438,-3.578,0.0479,130.105,4
45,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton,2021-01-15,169153,82,0.824,0.0076,0.824,0.862,0.000132,0.303,-3.424,0.126,122.98,4
46,Where The Lights Are Low,Where The Lights Are Low,Toby Romeo,2021-01-22,136995,71,0.759,0.448,0.759,0.807,0.0,0.105,-5.812,0.122,123.904,4
47,Man On The Moon,World Of Walker,Alan Walker,2021-11-26,178625,75,0.668,0.0557,0.668,0.816,1.02e-06,0.197,-5.648,0.0367,129.971,4
48,BED - David Guetta Festival Mix,BED (David Guetta Festival Mix),Joel Corry,2021-04-23,235200,58,0.687,0.00409,0.687,0.916,0.258,0.0474,-4.311,0.0668,125.001,4
49,Oohla Oohla,Together Again,Tiësto,2021-10-15,143280,52,0.694,0.00198,0.694,0.856,0.000189,0.67,-4.937,0.222,124.923,4
50,No Fun,No Fun,Armin van Buuren,2021-11-19,130412,69,0.731,0.00861,0.731,0.904,0.000164,0.0916,-4.774,0.0349,121.03,4
51,Ride With Me (feat. Kid Ink) - Brennan Heart Remix,Ride With Me (feat. Kid Ink) [Brennan Heart Remix],Tungevaag,2021-07-02,230400,64,0.693,0.278,0.693,0.864,0.0388,0.0777,-4.17,0.0483,149.998,4
52,Thunder,Thunder,Gabry Ponte,2021-05-07,160000,82,0.67,0.0342,0.67,0.896,3.21e-05,0.344,-4.673,0.058,101.216,3
