,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Boring 20s,Boring 20s,Tamela D'Amico,2022-05-13,170619,45,0.798,0.076,0.798,0.812,0.000596,0.0824,-5.973,0.0421,122.029,4
1,Pressure - Klischée Remix,Pressure (Klischée Remix),Klischée,2022-03-11,203933,47,0.821,0.214,0.821,0.756,3.66e-05,0.246,-7.254,0.0695,115.04,4
2,Demon Kitty Rag - Electro Swing Version,Demon Kitty Rag (Electro Swing Version),Tori & Dean,2020-11-16,215031,41,0.865,0.0165,0.865,0.582,5.19e-05,0.12,-7.154,0.282,121.039,4
3,The Little Man Who Wasn't There,The Little Man Who Wasn't There,Odd Chap,2016-07-21,206541,44,0.717,0.262,0.717,0.871,0.022,0.0719,-6.376,0.337,126.029,4
4,Taking You with Me,Taking You with Me,Little Violet,2021-05-26,199963,37,0.849,0.259,0.849,0.737,0.0,0.091,-5.417,0.0568,123.959,4
5,Big Bad Wolf,Big Bad Wolf,Johnny Wright,2021-10-22,190615,42,0.738,0.0283,0.738,0.642,0.0,0.249,-7.857,0.167,127.958,4
6,Light up the Night,Light up the Night,Jamie Berry,2019-08-16,233879,0,0.739,0.013,0.739,0.882,0.188,0.599,-7.448,0.194,124.119,4
7,It Don't Mean A Thing - Electro Swing Mix,It Don't Mean A Thing (Electro Swing Mix),The Hebbe Sisters,2021-07-30,173735,39,0.78,0.172,0.78,0.813,0.0,0.1,-6.134,0.213,122.048,4
8,AKH Odessa,AKH Odessa,Parov Stelar,2022-02-18,240812,41,0.902,0.0221,0.902,0.659,3.26e-05,0.0584,-5.697,0.157,127.993,4
9,Wabababa - Balduin VIP Mix,Wabababa (Time to Remix),Balduin,2021-06-11,178272,35,0.709,0.0217,0.709,0.836,0.00798,0.0542,-4.141,0.079,126.028,4
10,Crazy Out There,Crazy Out There,Odd Chap,2021-11-19,194741,43,0.769,0.00143,0.769,0.878,0.0513,0.0874,-7.888,0.191,112.034,4
11,Speed Dating An Arsonist,Speed Dating An Arsonist,Diablo Swing Orchestra,2021-10-22,330893,38,0.739,0.0444,0.739,0.815,0.0432,0.0525,-7.744,0.0758,121.997,4
12,Cream Soda,Cream Soda,Deladap,2021-08-27,184077,36,0.827,0.166,0.827,0.755,5.2e-05,0.153,-6.72,0.0889,103.009,4
13,Rose,Rose,Swingrowers,2021-01-22,213120,38,0.777,0.182,0.777,0.734,0.081,0.487,-7.663,0.0368,125.032,4
14,Code Red,Code Red,Little Violet,2021-09-03,228993,39,0.714,0.0308,0.714,0.822,3.04e-05,0.13,-5.647,0.0926,89.976,4
15,Shotgun Swing,Shotgun Swing,K.D.S,2021-05-19,277041,39,0.845,0.00197,0.845,0.967,0.655,0.24,-4.363,0.0623,120.952,4
16,Fallen World,Fallen World,Riff Kitten,2020-09-25,228593,33,0.706,0.8,0.706,0.55,1.19e-06,0.118,-7.691,0.0353,95.973,4
17,Wellerman - Electro Swing Mix,Wellerman,Betty Booom,2021-03-16,138645,45,0.912,0.193,0.912,0.712,0.00811,0.0788,-6.455,0.101,120.011,4
18,Big Blue Swing,Big Blue Swing,Tape Five,2021-12-17,227127,41,0.766,0.13,0.766,0.946,0.0124,0.541,-4.064,0.0816,129.991,4
19,Empires,It Flew By,The Electric Swing Circus,2017-01-16,190508,0,0.816,0.264,0.816,0.761,1.86e-06,0.0995,-3.941,0.0368,120.008,4
20,Day & Night,Day & Night,Odd Chap,2018-10-05,247500,38,0.861,0.0217,0.861,0.917,0.0588,0.208,-4.052,0.0906,127.953,4
21,Topsy at the Top,Topsy at the Top,Martin Landström,2021-08-27,260091,33,0.649,0.0424,0.649,0.903,0.559,0.102,-8.024,0.0566,115.987,4
22,Allegro Molto Vivace (Piano Concerto in E Minor No. 1) - Electro Swing Mix,Allegro Molto Vivace (Piano Concerto in E Minor No. 1) [Electro Swing Mix],Felix Mendelssohn,2021-06-30,146190,34,0.731,0.0402,0.731,0.892,0.792,0.224,-5.695,0.0523,125.994,4
23,Mais Non - 1920 Version,Mais Non (1920 Version),Klischée,2017-10-06,191801,41,0.865,0.427,0.865,0.881,0.205,0.316,-6.812,0.127,128.033,4
24,Candy Girl,Candy Girl,Parov Stelar,2022-01-21,162075,48,0.864,0.153,0.864,0.79,0.577,0.0849,-6.434,0.189,99.992,4
25,One for the Road,One for the Road,Atom Smith,2021-05-21,238080,38,0.774,0.117,0.774,0.798,0.0935,0.286,-6.621,0.0515,125.013,4
26,The Jungle Jive,Bongo Chic,Minimatic,2021-02-18,231724,37,0.946,0.249,0.946,0.864,0.0418,0.406,-5.926,0.274,115.95,4
27,Ballade No. 1,Ballade No. 1,Wolfgang Lohr,2021-05-14,114000,35,0.728,0.0287,0.728,0.886,0.802,0.113,-6.198,0.0358,119.985,4
28,Chicago,Chicago,Mr. Jazzek,2021-05-28,164257,37,0.899,0.138,0.899,0.736,0.56,0.0717,-6.018,0.0466,121.993,4
29,Wake Up Romeo - Pisk Remix,Wake Up Romeo (Pisk Remix),Caro Emerald,2021-02-26,182720,29,0.851,0.0995,0.851,0.828,0.00455,0.206,-6.399,0.0823,122.961,4
30,New Ground,New Ground,Balduin,2021-10-29,187838,40,0.705,0.194,0.705,0.786,7.32e-05,0.215,-5.67,0.0769,118.002,4
31,No Strings Attached,Outsidein,Swingrowers,2018-02-23,246973,45,0.825,0.298,0.825,0.74,5.21e-06,0.309,-7.354,0.0327,128.018,4
32,Comin' Up Swinging,Bass Age Big Band,Atom Smith,2020-10-02,215625,36,0.763,0.00935,0.763,0.8,0.0328,0.185,-6.255,0.0422,127.958,4
33,Get This (Bang Bang),Get This (Bang Bang),Klischée,2021-04-02,225728,40,0.794,0.0465,0.794,0.742,0.0215,0.157,-5.113,0.123,124.968,4
34,Say What - Pisk Electro Swing Remix,Say What (2019),Cut Capers,2019-10-04,193809,41,0.735,0.0318,0.735,0.934,0.000333,0.212,-5.414,0.0484,126.023,4
35,Back in Time,Back in Time,Swing Republic,2018-06-29,198666,38,0.87,0.0166,0.87,0.792,0.123,0.178,-5.327,0.047,117.983,4
36,Swing in Spring - Betty Booom Remix,Swing in Spring (Betty Booom Remix),Wolfgang Lohr,2021-04-13,174702,37,0.864,0.0831,0.864,0.68,3.24e-06,0.117,-7.025,0.123,120.041,4
37,Mañana - Jojo Effect & Gardener of Delight Remix,Mañana (Jojo Effect & Gardener of Delight Remix),Jojo Effect,2021-04-09,168000,38,0.749,0.329,0.749,0.842,1.84e-05,0.136,-8.449,0.0835,129.082,4
38,Hep Cat Boogie,Vintage Vibes,Balduin,2022-02-25,202946,40,0.967,0.224,0.967,0.827,0.0928,0.13,-6.087,0.161,117.043,4
39,Crazy Cat,Crazy Cat,11 Acorn Lane,2021-03-25,157187,35,0.785,0.0805,0.785,0.747,1.59e-05,0.369,-7.832,0.0771,128.044,4
40,Loco,Loco,Mr. Jazzek,2021-04-23,178560,33,0.867,0.0939,0.867,0.657,4.29e-05,0.165,-6.155,0.0632,125.021,4
41,Horny - Electro Swing Version,Horny,Pisk,2020-05-08,210708,45,0.782,0.0652,0.782,0.665,1.52e-05,0.126,-7.592,0.0605,126.985,4
42,Wochenend Und Sonnenschein (Electro Swing),Wochenend Und Sonnenschein (Electro Swing),Wolfgang Lohr,2018-09-07,182903,36,0.826,0.0067,0.826,0.89,0.00046,0.0659,-4.671,0.163,124.056,4
43,So Good,So Good,Klischée,2021-05-21,196470,38,0.758,0.123,0.758,0.699,1.27e-05,0.104,-4.394,0.0509,101.957,4
44,Mr Magpie - Jamie Berry Remix,The Electric Swing Circus - Remixed Vol. 1,The Electric Swing Circus,2018-11-06,224588,0,0.868,0.0312,0.868,0.609,0.0129,0.254,-6.081,0.0796,133.99,4
45,Cheek to Cheek - Swing Hop Mix,Cheek to Cheek (Swing Hop Mix),Odd Chap,2019-06-28,180754,37,0.591,0.0119,0.591,0.955,0.0135,0.0852,-3.217,0.107,98.927,4
46,Butterfly - Wolfgang Lohr Remix,Butterfly (Remixes),Swingrowers,2017-06-09,350476,0,0.716,0.229,0.716,0.972,0.356,0.113,-4.281,0.0569,125.994,4
47,Silent Movie,Silent Movie,Little Violet,2019-11-15,197964,35,0.839,0.0788,0.839,0.731,0.054,0.165,-6.74,0.0414,114.021,4
48,Black Betty,Black Betty - Single,Caravan Palace,2017-05-26,189956,0,0.832,0.192,0.832,0.948,0.000117,0.0806,-3.979,0.0502,121.973,4
49,Jive Me Crazy,Jive Me Crazy,Betty Booom,2021-08-18,161684,34,0.884,0.0153,0.884,0.758,0.108,0.0769,-6.339,0.114,95.046,4
50,St Louis Blues,St Louis Blues,The Swing Bot,2019-05-17,207914,3,0.813,0.229,0.813,0.727,0.4,0.113,-6.913,0.164,110.985,4
51,Don't Stop,Don't Stop,Szigeti Juli,2021-04-16,182608,35,0.692,0.0331,0.692,0.769,0.00107,0.0743,-7.961,0.0571,115.046,4
52,Via con me - Electro Swing Mix,Via con me,LVDS,2021-06-11,167961,35,0.886,0.249,0.886,0.745,0.000766,0.0731,-6.205,0.0421,109.989,4
53,Ma Che Bella Compagnia,Ma Che Bella Compagnia,Melania,2021-10-01,181817,34,0.857,0.299,0.857,0.859,3.93e-06,0.0851,-4.158,0.0443,108.04,4
54,My 20s Woman,My 20s Woman,Wolfgang Lohr,2020-02-21,186000,39,0.77,0.0308,0.77,0.83,0.468,0.335,-7.169,0.156,119.987,4
55,Stay Swing,Remote,Swingrowers,2014,272143,0,0.71,0.0208,0.71,0.915,0.0311,0.333,-4.548,0.0979,128.047,4
56,Lone Digger,<I°_°I>,Caravan Palace,2015-10-16,229804,0,0.769,0.598,0.769,0.931,0.0173,0.115,-5.289,0.0495,123.974,4
57,Summer Swing,Summer Swing,Glenn Gatsby,2021-07-21,158350,35,0.899,0.467,0.899,0.659,0.136,0.0757,-6.349,0.474,96.996,4
58,Music Has the Power - Radio Edit,Music Has the Power (Radio Edit),Deladap,2019-03-29,206205,0,0.695,0.111,0.695,0.875,0.0,0.23,-4.112,0.107,104.058,4
59,Pingu - Game Sessions,Pingu (Game Sessions),Balkan Paradise Orchestra,2021-06-23,225120,35,0.71,0.136,0.71,0.887,0.169,0.356,-7.315,0.0604,125.029,4
60,Cinnamon Girl - Sun Dub Edit,Cinnamon Girl (Sun Dub Edit),[dunkelbunt],2019-03-22,336178,36,0.885,0.124,0.885,0.658,0.827,0.693,-8.877,0.0927,106.646,4
61,Dixie Biscuit - Radio Edit,"Dixie Biscuit ""The Shanghai Tapes""",Tape Five,2016-06-03,199679,0,0.665,0.0216,0.665,0.81,1.13e-05,0.125,-5.164,0.0892,98.263,4
62,Re-Charleston (Radio Edit),Re-Charleston (Electro Swing),Wolfgang Lohr,2018-04-06,167360,38,0.848,0.499,0.848,0.823,0.916,0.155,-4.021,0.0766,125.022,4
63,1925,1925,LVDS,2020-02-18,164842,38,0.917,0.0438,0.917,0.638,0.843,0.11,-7.641,0.138,95.016,4
64,Superhero - Original Mix,Superhero,Kormac,2012-06-18,327837,0,0.878,0.0195,0.878,0.814,0.468,0.0515,-8.858,0.0623,123.026,4
