,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Perfect Sunday,Stronger Now,Carol Albert,2020-01-31,243366,51,0.621,0.601,0.621,0.65,0.925,0.325,-9.925,0.0541,168.069,4
1,Fluid,Fluid,Lin Rountree,2020-07-10,265875,46,0.809,0.161,0.809,0.552,0.859,0.127,-8.678,0.041,95.016,4
2,New Bounce,6,Oli Silk,2020-05-29,287640,41,0.731,0.375,0.731,0.629,0.827,0.0872,-8.959,0.0294,95.976,4
3,When We Dance,Into the Light,Ken Navarro,2020-02-21,264186,49,0.339,0.893,0.339,0.617,0.933,0.0857,-9.396,0.0312,91.328,4
4,Magic Hour,Magic Hour,Sean U,2020-08-31,255348,46,0.585,0.146,0.585,0.838,0.858,0.0716,-6.884,0.0348,172.023,4
5,Feels Like Friday Night,Shakedown,Kim Waters,2020-05-29,259386,0,0.855,0.233,0.855,0.571,0.836,0.0796,-6.4,0.035,109.984,4
6,Exhale,The Little Things,Cindy Bradley,2019-05-31,314574,40,0.638,0.892,0.638,0.489,0.919,0.203,-10.288,0.0391,82.01,4
7,Let's Get Serious,Let's Get Serious,Nick Colionne,2020-04-03,246546,37,0.759,0.696,0.759,0.515,0.76,0.0932,-9.74,0.0314,106.052,4
8,Think of You,Sentiment,Brendan Rothwell,2019-02-14,240172,46,0.658,0.638,0.658,0.326,0.825,0.13,-12.786,0.0409,87.991,4
9,Sundance,Solid,Boney James,2020-06-12,229640,47,0.8,0.5,0.8,0.547,0.869,0.1,-9.716,0.04,104.036,4
10,Seventh Heaven (feat. Jeff Golub),Nightlife,Avenue Blue (Featuring Jeff Golub),1997,310280,48,0.641,0.68,0.641,0.625,0.927,0.202,-11.644,0.0371,91.917,4
11,Fired Up,Unified,Brian Simpson,2020-01-17,262640,0,0.81,0.575,0.81,0.639,0.8,0.0989,-9.925,0.035,102.001,4
12,Stockholm Summer,The Little Things,Cindy Bradley,2019-05-31,295156,42,0.711,0.802,0.711,0.476,0.742,0.105,-9.448,0.0358,102.925,4
13,Soulfully,Soulfully,Ryan Montano,2020-05-25,250000,46,0.696,0.506,0.696,0.844,0.935,0.127,-7.202,0.0258,105.03,4
14,Hope,G-Stream,Gerald Albright,2020-10-30,260265,45,0.568,0.323,0.568,0.68,0.427,0.0597,-4.692,0.0537,89.741,4
15,BLUE MOON,Blue Moon,Skinny Hightower,2020-03-27,224000,35,0.713,0.257,0.713,0.778,0.0285,0.0391,-6.203,0.0341,91.02,4
