,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Beautiful Girls,Sean Kingston,Sean Kingston,2008-03-11,241933,66,0.745,0.159,0.745,0.666,0.0,0.302,-5.899,0.0566,129.995,4
1,Yeah! (feat. Lil Jon & Ludacris),Confessions (Expanded Edition),Usher,2004-03-23,250373,81,0.894,0.0183,0.894,0.791,0.0,0.0388,-4.699,0.112,105.018,4
2,Nights,Blonde,Frank Ocean,2016-08-20,307151,77,0.466,0.42,0.466,0.548,1.01e-06,0.113,-9.362,0.118,89.815,4
3,Sure Thing,All I Want Is You,Miguel,2010-11-26,195373,77,0.684,0.0267,0.684,0.607,0.000307,0.191,-8.127,0.1,81.001,4
4,Don't Matter,Konvicted,Akon,2006-01-01,293053,72,0.798,0.244,0.798,0.443,0.0,0.326,-6.062,0.0403,125.232,4
5,Drama (feat. Drake),Exis,Roy Woods,2015-07-31,251859,74,0.709,0.157,0.709,0.362,0.0,0.109,-9.814,0.055,122.043,4
6,Dead Man Walking,Dead Man Walking,Brent Faiyaz,2020-09-18,247079,75,0.505,0.279,0.505,0.267,0.0,0.096,-13.763,0.05,143.929,4
7,Break from Toronto,PARTYNEXTDOOR,PARTYNEXTDOOR,2013-07-01,99213,78,0.596,0.0199,0.596,0.678,0.004,0.418,-5.18,0.0335,117.066,4
8,Pony,R&B: From Doo-Wop To Hip-Hop,Various Artists,1999-10-08,251733,72,0.749,0.00186,0.749,0.605,0.0381,0.115,-9.359,0.086,142.024,4
9,Heartbreak Anniversary,TAKE TIME,Giveon,2020-03-27,198370,81,0.449,0.524,0.449,0.465,1.02e-06,0.303,-8.964,0.0791,89.087,3
10,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",Floor Seats,A$AP Ferg,2019-08-16,222986,74,0.737,0.292,0.737,0.597,0.0,0.13,-7.333,0.119,92.049,4
11,Often,Beauty Behind The Madness,The Weeknd,2015-08-28,249040,78,0.572,0.222,0.572,0.631,0.0,0.135,-9.836,0.0476,134.078,4
